epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.640625,1.0487061738967896,,
0,99,,,0.6171875,0.8903841972351074,,
0,149,,,0.7109375,0.7939587235450745,,
0,199,,,0.734375,0.7511156797409058,,
0,249,,,0.65625,0.7933393716812134,,
0,299,,,0.765625,0.605715811252594,,
0,349,,,0.734375,0.7940797805786133,,
0,399,,,0.7578125,0.616823673248291,,
0,429,,,,,0.760200023651123,0.6265785098075867
1,449,,,0.7578125,0.595341145992279,,
1,499,,,0.7734375,0.5541948080062866,,
1,549,,,0.75,0.7272672653198242,,
1,599,,,0.7265625,0.647046685218811,,
1,649,,,0.7890625,0.6447980999946594,,
1,699,,,0.765625,0.5841571688652039,,
1,749,,,0.75,0.6337055563926697,,
1,799,,,0.8515625,0.5014298558235168,,
1,849,,,0.78125,0.5435472726821899,,
1,859,,,,,0.7875999808311462,0.545137345790863
2,899,,,0.7734375,0.614129900932312,,
2,949,,,0.734375,0.6942583322525024,,
2,999,,,0.7734375,0.6421495676040649,,
2,1049,,,0.8125,0.4879779517650604,,
2,1099,,,0.765625,0.5151489973068237,,
2,1149,,,0.8203125,0.4858853220939636,,
2,1199,,,0.8359375,0.4315081238746643,,
2,1249,,,0.765625,0.619259238243103,,
2,1289,,,,,0.8047999739646912,0.5204153060913086
3,1299,,,0.75,0.6103208065032959,,
3,1349,,,0.7890625,0.5483604669570923,,
3,1399,,,0.7734375,0.577970027923584,,
3,1449,,,0.8359375,0.445697546005249,,
3,1499,,,0.8515625,0.43808695673942566,,
3,1549,,,0.84375,0.440807580947876,,
3,1599,,,0.7734375,0.6338415145874023,,
3,1649,,,0.7578125,0.5458552241325378,,
3,1699,,,0.7734375,0.5168532729148865,,
3,1719,,,,,0.8226000070571899,0.46951907873153687
4,1749,,,0.796875,0.48429474234580994,,
4,1799,,,0.8046875,0.4928569197654724,,
4,1849,,,0.828125,0.470614492893219,,
4,1899,,,0.765625,0.6714756488800049,,
4,1949,,,0.859375,0.40815573930740356,,
4,1999,,,0.84375,0.42894989252090454,,
4,2049,,,0.8515625,0.4250279664993286,,
4,2099,,,0.84375,0.4228375256061554,,
4,2149,,,0.8409090638160706,0.4552730619907379,,
4,2149,,,,,0.8402000069618225,0.443203330039978
5,2199,,,0.84375,0.4180268943309784,,
5,2249,,,0.84375,0.39330625534057617,,
5,2299,,,0.8671875,0.44736695289611816,,
5,2349,,,0.890625,0.3536566495895386,,
5,2399,,,0.78125,0.5849470496177673,,
5,2449,,,0.828125,0.4374710023403168,,
5,2499,,,0.765625,0.5375478267669678,,
5,2549,,,0.828125,0.4666098654270172,,
5,2579,,,,,0.8384000062942505,0.4222643971443176
6,2599,,,0.8125,0.45220863819122314,,
6,2649,,,0.8125,0.45421987771987915,,
6,2699,,,0.8671875,0.4106909930706024,,
6,2749,,,0.90625,0.32195746898651123,,
6,2799,,,0.78125,0.5674140453338623,,
6,2849,,,0.828125,0.4760211408138275,,
6,2899,,,0.8359375,0.4757024943828583,,
6,2949,,,0.890625,0.2709057629108429,,
6,2999,,,0.7890625,0.4998762011528015,,
6,3009,,,,,0.8270000219345093,0.4620460867881775
7,3049,,,0.8359375,0.3861845135688782,,
7,3099,,,0.8828125,0.32870689034461975,,
7,3149,,,0.8125,0.4726283848285675,,
7,3199,,,0.7890625,0.5921921730041504,,
7,3249,,,0.875,0.3974800109863281,,
7,3299,,,0.8359375,0.4634242653846741,,
7,3349,,,0.8515625,0.4030405879020691,,
7,3399,,,0.8984375,0.3305327296257019,,
7,3439,,,,,0.8342000246047974,0.42721259593963623
8,3449,,,0.875,0.4554058909416199,,
8,3499,,,0.8046875,0.5011997222900391,,
8,3549,,,0.8359375,0.43166476488113403,,
8,3599,,,0.8203125,0.5284972190856934,,
8,3649,,,0.8671875,0.38145875930786133,,
8,3699,,,0.8984375,0.2974066138267517,,
8,3749,,,0.7578125,0.5755058526992798,,
8,3799,,,0.8203125,0.4701576828956604,,
8,3849,,,0.9140625,0.30154579877853394,,
8,3869,,,,,0.8579999804496765,0.38743579387664795
9,3899,,,0.8203125,0.439308226108551,,
9,3949,,,0.8203125,0.4720965325832367,,
9,3999,,,0.8125,0.4019423723220825,,
9,4049,,,0.7890625,0.4997256398200989,,
9,4099,,,0.8515625,0.3648221790790558,,
9,4149,,,0.8828125,0.3610193729400635,,
9,4199,,,0.8671875,0.36058613657951355,,
9,4249,,,0.859375,0.43201395869255066,,
9,4299,,,0.8522727489471436,0.5601320266723633,,
9,4299,,,,,0.8633999824523926,0.37821725010871887
10,4300,0.8518000245094299,0.39932894706726074,,,,
