epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.4921875,1.4324697256088257,,
0,99,,,0.65234375,1.015129566192627,,
0,149,,,0.75390625,0.7274816036224365,,
0,199,,,0.72265625,0.8135876059532166,,
0,210,,,,,0.8486666679382324,0.4605904221534729
1,249,,,0.7265625,0.7302882671356201,,
1,299,,,0.80078125,0.5800694227218628,,
1,349,,,0.79296875,0.6038834452629089,,
1,399,,,0.78125,0.6403851509094238,,
1,421,,,,,0.8816666603088379,0.3480305075645447
2,449,,,0.81640625,0.49381428956985474,,
2,499,,,0.7578125,0.555487871170044,,
2,549,,,0.82421875,0.48964762687683105,,
2,599,,,0.8515625,0.4686617851257324,,
2,632,,,,,0.8893333077430725,0.31956490874290466
3,649,,,0.8359375,0.47292134165763855,,
3,699,,,0.83984375,0.4636538326740265,,
3,749,,,0.85546875,0.4470841884613037,,
3,799,,,0.83203125,0.5110621452331543,,
3,843,,,,,0.8931666612625122,0.3030511438846588
4,849,,,0.828125,0.5115978717803955,,
4,899,,,0.80859375,0.5154210329055786,,
4,949,,,0.84375,0.46930867433547974,,
4,999,,,0.8359375,0.4219832420349121,,
4,1049,,,0.875,0.39440423250198364,,
4,1054,,,,,0.9018333554267883,0.2766788601875305
5,1099,,,0.88671875,0.3974270820617676,,
5,1149,,,0.890625,0.3377368450164795,,
5,1199,,,0.8828125,0.32791081070899963,,
5,1249,,,0.8671875,0.3882220387458801,,
5,1265,,,,,0.909333348274231,0.2612275183200836
6,1299,,,0.87890625,0.3914654850959778,,
6,1349,,,0.86328125,0.3866475820541382,,
6,1399,,,0.87109375,0.3894314765930176,,
6,1449,,,0.9140625,0.2726767957210541,,
6,1476,,,,,0.9036666750907898,0.2834247946739197
7,1499,,,0.88671875,0.3570423722267151,,
7,1549,,,0.87109375,0.3705100417137146,,
7,1599,,,0.890625,0.34753531217575073,,
7,1649,,,0.87890625,0.4590579569339752,,
7,1687,,,,,0.9079999923706055,0.26005691289901733
8,1699,,,0.91015625,0.2931603789329529,,
8,1749,,,0.8671875,0.37681612372398376,,
8,1799,,,0.90625,0.30878761410713196,,
8,1849,,,0.89453125,0.28963953256607056,,
8,1898,,,,,0.9135000109672546,0.25027182698249817
9,1899,,,0.9140625,0.2987692356109619,,
9,1949,,,0.89453125,0.335557222366333,,
9,1999,,,0.91015625,0.26983699202537537,,
9,2049,,,0.8984375,0.2793102264404297,,
9,2099,,,0.91015625,0.26929691433906555,,
9,2109,,,,,0.9068333506584167,0.2633935511112213
10,2149,,,0.90625,0.26787978410720825,,
10,2199,,,0.875,0.3446652591228485,,
10,2249,,,0.890625,0.3025497794151306,,
10,2299,,,0.921875,0.23495696485042572,,
10,2320,,,,,0.9176666736602783,0.24526549875736237
11,2349,,,0.92578125,0.23733624815940857,,
11,2399,,,0.9140625,0.28323906660079956,,
11,2449,,,0.9140625,0.27536827325820923,,
11,2499,,,0.8984375,0.29531770944595337,,
11,2531,,,,,0.9164999723434448,0.24335500597953796
12,2549,,,0.921875,0.2328208088874817,,
12,2599,,,0.8984375,0.37494081258773804,,
12,2649,,,0.90625,0.31617259979248047,,
12,2699,,,0.8828125,0.3036801815032959,,
12,2742,,,,,0.9169999957084656,0.2445644587278366
13,2749,,,0.91015625,0.30625900626182556,,
13,2799,,,0.921875,0.22806712985038757,,
13,2849,,,0.9296875,0.25172752141952515,,
13,2899,,,0.92578125,0.21813398599624634,,
13,2949,,,0.88671875,0.36826449632644653,,
13,2953,,,,,0.9163333177566528,0.24652062356472015
14,2999,,,0.93359375,0.19495612382888794,,
14,3049,,,0.921875,0.24377919733524323,,
14,3099,,,0.91796875,0.2178797572851181,,
14,3149,,,0.8984375,0.26690995693206787,,
14,3164,,,,,0.9178333282470703,0.24623842537403107
15,3165,0.9132999777793884,0.2655008137226105,,,,
