epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.65625,1.024170160293579,,
0,99,,,0.6484375,0.9271338582038879,,
0,149,,,0.6484375,0.9260502457618713,,
0,199,,,0.7734375,0.5958154797554016,,
0,249,,,0.71875,0.6930946707725525,,
0,299,,,0.78125,0.6250743865966797,,
0,349,,,0.8203125,0.46322202682495117,,
0,399,,,0.78125,0.5399576425552368,,
0,429,,,,,0.847599983215332,0.430875301361084
1,449,,,0.78125,0.6662843227386475,,
1,499,,,0.765625,0.6184532642364502,,
1,549,,,0.84375,0.4928429126739502,,
1,599,,,0.8671875,0.3979993164539337,,
1,649,,,0.84375,0.46317291259765625,,
1,699,,,0.8125,0.5493642091751099,,
1,749,,,0.796875,0.47538673877716064,,
1,799,,,0.859375,0.4215748906135559,,
1,849,,,0.828125,0.44847944378852844,,
1,859,,,,,0.870199978351593,0.36073675751686096
2,899,,,0.8046875,0.4923575222492218,,
2,949,,,0.8515625,0.39259225130081177,,
2,999,,,0.875,0.3872499167919159,,
2,1049,,,0.8203125,0.4793325662612915,,
2,1099,,,0.8671875,0.3648979663848877,,
2,1149,,,0.828125,0.43016043305397034,,
2,1199,,,0.859375,0.32568928599357605,,
2,1249,,,0.8359375,0.4189889430999756,,
2,1289,,,,,0.8835999965667725,0.3327922821044922
3,1299,,,0.890625,0.32610517740249634,,
3,1349,,,0.8359375,0.3744358420372009,,
3,1399,,,0.8125,0.5232172012329102,,
3,1449,,,0.8828125,0.34651654958724976,,
3,1499,,,0.8359375,0.42993593215942383,,
3,1549,,,0.84375,0.5151721239089966,,
3,1599,,,0.8671875,0.40019646286964417,,
3,1649,,,0.859375,0.35457777976989746,,
3,1699,,,0.8359375,0.4156418740749359,,
3,1719,,,,,0.894599974155426,0.30298519134521484
4,1749,,,0.8359375,0.43831580877304077,,
4,1799,,,0.8828125,0.3472467064857483,,
4,1849,,,0.8515625,0.45608875155448914,,
4,1899,,,0.8125,0.4540834128856659,,
4,1949,,,0.8828125,0.31553417444229126,,
4,1999,,,0.8671875,0.4570503532886505,,
4,2049,,,0.8671875,0.28798073530197144,,
4,2099,,,0.8828125,0.3537796437740326,,
4,2149,,,0.9204545617103577,0.29374098777770996,,
4,2149,,,,,0.8921999931335449,0.296522855758667
5,2199,,,0.8515625,0.41040563583374023,,
5,2249,,,0.8671875,0.3971703052520752,,
5,2299,,,0.8984375,0.3921441435813904,,
5,2349,,,0.9140625,0.24879074096679688,,
5,2399,,,0.890625,0.27956828474998474,,
5,2449,,,0.859375,0.33074942231178284,,
5,2499,,,0.8359375,0.3954668641090393,,
5,2549,,,0.8984375,0.3334308862686157,,
5,2579,,,,,0.9021999835968018,0.2731795907020569
6,2599,,,0.8671875,0.3439198136329651,,
6,2649,,,0.875,0.286533921957016,,
6,2699,,,0.8984375,0.25883200764656067,,
6,2749,,,0.8359375,0.42249929904937744,,
6,2799,,,0.828125,0.43227583169937134,,
6,2849,,,0.8671875,0.3176361620426178,,
6,2899,,,0.8984375,0.2992451786994934,,
6,2949,,,0.8828125,0.2819167971611023,,
6,2999,,,0.8671875,0.39569681882858276,,
6,3009,,,,,0.9056000113487244,0.26791682839393616
7,3049,,,0.8828125,0.3163907527923584,,
7,3099,,,0.890625,0.2237197458744049,,
7,3149,,,0.8828125,0.3897024095058441,,
7,3199,,,0.859375,0.3324136734008789,,
7,3249,,,0.921875,0.21267861127853394,,
7,3299,,,0.8671875,0.2989623546600342,,
7,3349,,,0.890625,0.2784618139266968,,
7,3399,,,0.9140625,0.275621235370636,,
7,3439,,,,,0.9121999740600586,0.258157342672348
8,3449,,,0.8984375,0.3109022378921509,,
8,3499,,,0.859375,0.32093173265457153,,
8,3549,,,0.90625,0.2121610939502716,,
8,3599,,,0.859375,0.33567216992378235,,
8,3649,,,0.921875,0.2577328383922577,,
8,3699,,,0.90625,0.2993072271347046,,
8,3749,,,0.875,0.37847965955734253,,
8,3799,,,0.921875,0.2514781951904297,,
8,3849,,,0.8984375,0.3445225954055786,,
8,3869,,,,,0.9067999720573425,0.252955824136734
9,3899,,,0.9140625,0.3064505159854889,,
9,3949,,,0.921875,0.23672398924827576,,
9,3999,,,0.859375,0.3449758291244507,,
9,4049,,,0.9140625,0.26938244700431824,,
9,4099,,,0.875,0.3221931457519531,,
9,4149,,,0.8828125,0.29011255502700806,,
9,4199,,,0.9296875,0.22128739953041077,,
9,4249,,,0.890625,0.32854941487312317,,
9,4299,,,0.8636363744735718,0.28628358244895935,,
9,4299,,,,,0.9165999889373779,0.24165432155132294
10,4300,0.902999997138977,0.266403466463089,,,,
