epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
9,,3899,,,0.9375,0.1938294768333435,,
9,,3949,,,0.9453125,0.1460842341184616,,
9,,3999,,,0.90625,0.26402753591537476,,
9,,4049,,,0.8984375,0.20625868439674377,,
9,,4099,,,0.9140625,0.22163426876068115,,
9,,4149,,,0.9140625,0.20000378787517548,,
9,,4199,,,0.9453125,0.17051154375076294,,
9,,4249,,,0.9375,0.24109449982643127,,
9,,4299,,,0.8522727489471436,0.3912791311740875,,
9,,4299,,,,,0.9211999773979187,0.22239241003990173
,0.0005,4300,,,,,,
10,,4349,,,0.921875,0.2188342809677124,,
10,,4399,,,0.859375,0.45924514532089233,,
10,,4449,,,0.8984375,0.2832128405570984,,
10,,4499,,,0.9375,0.19236567616462708,,
10,,4549,,,0.9453125,0.20544981956481934,,
10,,4599,,,0.890625,0.2638166546821594,,
10,,4649,,,0.9140625,0.20818710327148438,,
10,,4699,,,0.9140625,0.19158539175987244,,
10,,4729,,,,,0.9150000214576721,0.24038493633270264
,0.0005,4730,,,,,,
11,,4749,,,0.8828125,0.2590177655220032,,
11,,4799,,,0.953125,0.12348721921443939,,
11,,4849,,,0.8828125,0.26767003536224365,,
11,,4899,,,0.9375,0.2173946350812912,,
11,,4949,,,0.9140625,0.2397991567850113,,
11,,4999,,,0.90625,0.2430727183818817,,
11,,5049,,,0.921875,0.18388602137565613,,
11,,5099,,,0.921875,0.1797027736902237,,
11,,5149,,,0.9140625,0.2102992832660675,,
11,,5159,,,,,0.9215999841690063,0.20796799659729004
,0.0005,5160,,,,,,
12,,5199,,,0.9375,0.22302886843681335,,
12,,5249,,,0.921875,0.23237468302249908,,
12,,5299,,,0.90625,0.22265443205833435,,
12,,5349,,,0.9375,0.20341651141643524,,
12,,5399,,,0.9375,0.20181864500045776,,
12,,5449,,,0.890625,0.32976704835891724,,
12,,5499,,,0.8984375,0.21965643763542175,,
12,,5549,,,0.9296875,0.16110515594482422,,
12,,5589,,,,,0.926800012588501,0.2106388956308365
,0.0005,5590,,,,,,
13,,5599,,,0.9296875,0.2279563993215561,,
13,,5649,,,0.9453125,0.17340944707393646,,
13,,5699,,,0.9609375,0.15794220566749573,,
13,,5749,,,0.921875,0.28103357553482056,,
13,,5799,,,0.9296875,0.22632795572280884,,
13,,5849,,,0.8828125,0.26064640283584595,,
13,,5899,,,0.90625,0.21978352963924408,,
13,,5949,,,0.890625,0.22123795747756958,,
13,,5999,,,0.8984375,0.19823923707008362,,
13,,6019,,,,,0.9175999760627747,0.22673183679580688
,0.0005,6020,,,,,,
14,,6049,,,0.9296875,0.1981486827135086,,
14,,6099,,,0.953125,0.13087505102157593,,
14,,6149,,,0.9453125,0.12748531997203827,,
14,,6199,,,0.9375,0.17822064459323883,,
14,,6249,,,0.9453125,0.15033632516860962,,
14,,6299,,,0.953125,0.1820385456085205,,
14,,6349,,,0.9453125,0.1643894612789154,,
14,,6399,,,0.9609375,0.16887158155441284,,
14,,6449,,,0.8636363744735718,0.320170134305954,,
14,,6449,,,,,0.9232000112533569,0.2157294899225235
,0.0005,6450,,,,,,
15,,6499,,,0.9609375,0.1631878912448883,,
15,,6549,,,0.9296875,0.19255869090557098,,
15,,6599,,,0.9296875,0.19393065571784973,,
15,,6649,,,0.9140625,0.18679869174957275,,
15,,6699,,,0.953125,0.1580476313829422,,
15,,6749,,,0.9296875,0.16797427833080292,,
15,,6799,,,0.921875,0.19678300619125366,,
15,,6849,,,0.90625,0.21762439608573914,,
15,,6879,,,,,0.930400013923645,0.20294834673404694
,0.0005,6880,,,,,,
16,,6899,,,0.9453125,0.15310177206993103,,
16,,6949,,,0.9296875,0.1757073551416397,,
16,,6999,,,0.921875,0.17245784401893616,,
16,,7049,,,0.953125,0.1872805953025818,,
16,,7099,,,0.9375,0.17776019871234894,,
16,,7149,,,0.921875,0.18837672472000122,,
16,,7199,,,0.8984375,0.24912169575691223,,
16,,7249,,,0.921875,0.29302945733070374,,
16,,7299,,,0.9140625,0.22306106984615326,,
16,,7309,,,,,0.928600013256073,0.20576806366443634
,0.0005,7310,,,,,,
17,,7349,,,0.890625,0.2697778344154358,,
17,,7399,,,0.90625,0.21522365510463715,,
17,,7449,,,0.875,0.24155282974243164,,
17,,7499,,,0.890625,0.29969650506973267,,
17,,7549,,,0.8984375,0.2831059694290161,,
17,,7599,,,0.9453125,0.22556717693805695,,
17,,7649,,,0.9140625,0.1750907450914383,,
17,,7699,,,0.90625,0.20685940980911255,,
17,,7739,,,,,0.9297999739646912,0.20539060235023499
,0.0005,7740,,,,,,
18,,7749,,,0.921875,0.1899126172065735,,
18,,7799,,,0.9375,0.18566270172595978,,
18,,7849,,,0.890625,0.26812148094177246,,
18,,7899,,,0.890625,0.28351375460624695,,
18,,7949,,,0.9140625,0.17486730217933655,,
18,,7999,,,0.921875,0.17422644793987274,,
18,,8049,,,0.9375,0.2166016399860382,,
18,,8099,,,0.90625,0.2694515585899353,,
18,,8149,,,0.921875,0.2173360139131546,,
18,,8169,,,,,0.9290000200271606,0.20759686827659607
,0.0005,8170,,,,,,
19,,8199,,,0.9453125,0.18114840984344482,,
19,,8249,,,0.9140625,0.16599643230438232,,
19,,8299,,,0.9453125,0.1805112361907959,,
19,,8349,,,0.9296875,0.2051806002855301,,
19,,8399,,,0.96875,0.1033143699169159,,
19,,8449,,,0.9140625,0.2385420948266983,,
19,,8499,,,0.9296875,0.18172729015350342,,
19,,8549,,,0.90625,0.23265370726585388,,
19,,8599,,,0.9431818127632141,0.15728753805160522,,
19,,8599,,,,,0.9300000071525574,0.2015800029039383
,0.0005,8600,,,,,,
20,,8649,,,0.953125,0.12583404779434204,,
20,,8699,,,0.90625,0.18802136182785034,,
20,,8749,,,0.9375,0.1757982075214386,,
20,,8799,,,0.8984375,0.22758951783180237,,
20,,8849,,,0.90625,0.22808781266212463,,
20,,8899,,,0.953125,0.18993645906448364,,
20,,8949,,,0.9140625,0.22858580946922302,,
20,,8999,,,0.9140625,0.19266854226589203,,
20,,9029,,,,,0.9348000288009644,0.19007830321788788
,0.0005,9030,,,,,,
21,,9049,,,0.9140625,0.2137218713760376,,
21,,9099,,,0.9296875,0.18187424540519714,,
21,,9149,,,0.953125,0.15628597140312195,,
21,,9199,,,0.921875,0.24975797533988953,,
21,,9249,,,0.9140625,0.23565110564231873,,
21,,9299,,,0.953125,0.14031139016151428,,
21,,9349,,,0.9453125,0.17554086446762085,,
21,,9399,,,0.9140625,0.16589146852493286,,
21,,9449,,,0.9375,0.165005624294281,,
21,,9459,,,,,0.9232000112533569,0.21827685832977295
,0.0005,9460,,,,,,
22,,9499,,,0.8984375,0.252179890871048,,
22,,9549,,,0.875,0.30612942576408386,,
22,,9599,,,0.9296875,0.16865631937980652,,
22,,9649,,,0.90625,0.24457986652851105,,
22,,9699,,,0.859375,0.3270188868045807,,
22,,9749,,,0.9375,0.15423360466957092,,
22,,9799,,,0.9296875,0.3074113130569458,,
22,,9849,,,0.9609375,0.15036937594413757,,
22,,9889,,,,,0.9348000288009644,0.18652455508708954
,0.0005,9890,,,,,,
23,,9899,,,0.9609375,0.10381801426410675,,
23,,9949,,,0.890625,0.2766965627670288,,
23,,9999,,,0.96875,0.18187753856182098,,
23,,10049,,,0.9375,0.12472523748874664,,
23,,10099,,,0.9609375,0.15028418600559235,,
23,,10149,,,0.9453125,0.14164265990257263,,
23,,10199,,,0.9453125,0.14774948358535767,,
23,,10249,,,0.96875,0.12091819941997528,,
23,,10299,,,0.90625,0.2386206090450287,,
23,,10319,,,,,0.9341999888420105,0.18608805537223816
,0.0005,10320,,,,,,
24,,10349,,,0.953125,0.13288572430610657,,
24,,10399,,,0.8671875,0.3292481303215027,,
24,,10449,,,0.953125,0.16538260877132416,,
24,,10499,,,0.9296875,0.14334627985954285,,
24,,10549,,,0.9296875,0.16655299067497253,,
24,,10599,,,0.9375,0.16730532050132751,,
24,,10649,,,0.9140625,0.2448052167892456,,
24,,10699,,,0.90625,0.2691715359687805,,
24,,10749,,,0.9772727489471436,0.06591027230024338,,
24,,10749,,,,,0.9368000030517578,0.18256054818630219
,0.0005,10750,,,,,,
25,,10799,,,0.9296875,0.15366634726524353,,
25,,10849,,,0.9375,0.19661878049373627,,
25,,10899,,,0.921875,0.19797228276729584,,
25,,10949,,,0.9453125,0.17471715807914734,,
25,,10999,,,0.9375,0.14647185802459717,,
25,,11049,,,0.9375,0.22363442182540894,,
25,,11099,,,0.9375,0.19570483267307281,,
25,,11149,,,0.9375,0.1809992790222168,,
25,,11179,,,,,0.9359999895095825,0.1876150220632553
,0.0005,11180,,,,,,
26,,11199,,,0.953125,0.13056498765945435,,
26,,11249,,,0.90625,0.21142926812171936,,
26,,11299,,,0.984375,0.07856088876724243,,
26,,11349,,,0.9296875,0.1988971084356308,,
26,,11399,,,0.921875,0.24420280754566193,,
26,,11449,,,0.9375,0.2143397331237793,,
26,,11499,,,0.8984375,0.2159145623445511,,
26,,11549,,,0.890625,0.25750356912612915,,
26,,11599,,,0.875,0.2691003680229187,,
26,,11609,,,,,0.9341999888420105,0.18297059834003448
,0.0005,11610,,,,,,
27,,11649,,,0.9765625,0.10715891420841217,,
27,,11699,,,0.953125,0.17176902294158936,,
27,,11749,,,0.9296875,0.15948963165283203,,
27,,11799,,,0.953125,0.12182967364788055,,
27,,11849,,,0.9453125,0.13603214919567108,,
27,,11899,,,0.96875,0.09772352129220963,,
27,,11949,,,0.90625,0.20504242181777954,,
27,,11999,,,0.9453125,0.1504637449979782,,
27,,12039,,,,,0.9377999901771545,0.18238559365272522
,0.0005,12040,,,,,,
28,,12049,,,0.9296875,0.13552658259868622,,
28,,12099,,,0.9296875,0.17485404014587402,,
28,,12149,,,0.9296875,0.20068638026714325,,
28,,12199,,,0.9453125,0.14857162535190582,,
28,,12249,,,0.9140625,0.24302944540977478,,
28,,12299,,,0.9296875,0.1722322702407837,,
28,,12349,,,0.9375,0.12279786169528961,,
28,,12399,,,0.96875,0.1336536556482315,,
28,,12449,,,0.953125,0.16103041172027588,,
28,,12469,,,,,0.9366000294685364,0.1791844516992569
,0.0005,12470,,,,,,
29,,12499,,,0.890625,0.2279273271560669,,
29,,12549,,,0.9140625,0.23095715045928955,,
29,,12599,,,0.9609375,0.12494447082281113,,
29,,12649,,,0.9453125,0.13625070452690125,,
29,,12699,,,0.9296875,0.1435573697090149,,
29,,12749,,,0.9609375,0.09166885167360306,,
29,,12799,,,0.9296875,0.15462324023246765,,
29,,12849,,,0.9296875,0.14474576711654663,,
29,,12899,,,0.9318181872367859,0.20863042771816254,,
29,,12899,,,,,0.9376000165939331,0.18560999631881714
,0.0005,12900,,,,,,
30,,12949,,,0.9375,0.14411714673042297,,
30,,12999,,,0.9609375,0.12039682269096375,,
30,,13049,,,0.9765625,0.0745268166065216,,
30,,13099,,,0.96875,0.11135770380496979,,
30,,13149,,,0.953125,0.13887208700180054,,
30,,13199,,,0.96875,0.09458696842193604,,
30,,13249,,,0.921875,0.19607853889465332,,
30,,13299,,,0.9375,0.1393645703792572,,
30,,13329,,,,,0.9323999881744385,0.19769032299518585
,0.0005,13330,,,,,,
31,,13349,,,0.9609375,0.12318889796733856,,
31,,13399,,,0.9140625,0.242130309343338,,
31,,13449,,,0.890625,0.2750222682952881,,
31,,13499,,,0.8984375,0.23992450535297394,,
31,,13549,,,0.953125,0.1613636612892151,,
31,,13599,,,0.90625,0.18282772600650787,,
31,,13649,,,0.9609375,0.14741510152816772,,
31,,13699,,,0.9296875,0.15872310101985931,,
31,,13749,,,0.953125,0.14448919892311096,,
31,,13759,,,,,0.9380000233650208,0.17812785506248474
,0.0005,13760,,,,,,
32,,13799,,,0.921875,0.1780671775341034,,
32,,13849,,,0.9140625,0.22468416392803192,,
32,,13899,,,0.953125,0.11197374761104584,,
32,,13949,,,0.96875,0.15751343965530396,,
32,,13999,,,0.8828125,0.29159730672836304,,
32,,14049,,,0.90625,0.19911037385463715,,
32,,14099,,,0.9375,0.18485252559185028,,
32,,14149,,,0.9453125,0.14451636373996735,,
32,,14189,,,,,0.9372000098228455,0.18584640324115753
,0.0005,14190,,,,,,
33,,14199,,,0.9609375,0.1250373125076294,,
33,,14249,,,0.9609375,0.0845482274889946,,
33,,14299,,,0.9375,0.1769181191921234,,
33,,14349,,,0.921875,0.2030162811279297,,
33,,14399,,,0.921875,0.15805715322494507,,
33,,14449,,,0.9609375,0.11971189826726913,,
33,,14499,,,0.9765625,0.0790763646364212,,
33,,14549,,,0.9609375,0.0980205088853836,,
33,,14599,,,0.9375,0.14491477608680725,,
33,,14619,,,,,0.9369999766349792,0.1911178082227707
,0.0005,14620,,,,,,
34,,14649,,,0.984375,0.06701940298080444,,
34,,14699,,,0.9609375,0.1429436355829239,,
34,,14749,,,0.9296875,0.15216410160064697,,
34,,14799,,,0.9375,0.1424325406551361,,
34,,14849,,,0.9609375,0.12132681906223297,,
34,,14899,,,0.953125,0.10672207176685333,,
34,,14949,,,0.9609375,0.10851076990365982,,
34,,14999,,,0.96875,0.12434576451778412,,
34,,15049,,,0.9545454382896423,0.15001298487186432,,
34,,15049,,,,,0.9354000091552734,0.186504065990448
,0.0005,15050,,,,,,
35,,15099,,,0.9453125,0.13268312811851501,,
35,,15149,,,0.9296875,0.1572013795375824,,
35,,15199,,,0.9375,0.15126827359199524,,
35,,15249,,,0.9375,0.1805211901664734,,
35,,15299,,,0.9609375,0.09914819896221161,,
35,,15349,,,0.96875,0.09186144173145294,,
35,,15399,,,0.9296875,0.23213796317577362,,
35,,15449,,,0.9453125,0.11388058960437775,,
35,,15479,,,,,0.9332000017166138,0.1926840990781784
,0.00025,15480,,,,,,
36,,15499,,,0.9375,0.16193026304244995,,
36,,15549,,,0.9453125,0.12803032994270325,,
36,,15599,,,0.96875,0.1407071053981781,,
36,,15649,,,0.921875,0.18483145534992218,,
36,,15699,,,0.953125,0.14024308323860168,,
36,,15749,,,0.96875,0.0749497264623642,,
36,,15799,,,0.9375,0.12906286120414734,,
36,,15849,,,0.953125,0.10071580111980438,,
36,,15899,,,0.9375,0.12446415424346924,,
36,,15909,,,,,0.9408000111579895,0.1701812744140625
,0.00025,15910,,,,,,
37,,15949,,,0.9609375,0.10648927092552185,,
37,,15999,,,0.9296875,0.17318692803382874,,
37,,16049,,,0.96875,0.06646363437175751,,
37,,16099,,,0.9296875,0.1769876331090927,,
37,,16149,,,0.9609375,0.08304645121097565,,
37,,16199,,,0.9765625,0.07673433423042297,,
37,,16249,,,0.9296875,0.20502722263336182,,
37,,16299,,,0.921875,0.16299854218959808,,
37,,16339,,,,,0.9401999711990356,0.1769343763589859
,0.00025,16340,,,,,,
38,,16349,,,0.953125,0.11276380717754364,,
38,,16399,,,0.9453125,0.1250939667224884,,
38,,16449,,,0.984375,0.0794144794344902,,
38,,16499,,,0.9375,0.19130247831344604,,
38,,16549,,,0.9453125,0.11294649541378021,,
38,,16599,,,0.96875,0.10959517955780029,,
38,,16649,,,0.953125,0.12596705555915833,,
38,,16699,,,0.9296875,0.25625506043434143,,
38,,16749,,,0.953125,0.14667028188705444,,
38,,16769,,,,,0.9437999725341797,0.16497860848903656
,0.00025,16770,,,,,,
39,,16799,,,0.9765625,0.07239315658807755,,
39,,16849,,,0.90625,0.21763494610786438,,
39,,16899,,,0.9453125,0.1566716432571411,,
39,,16949,,,0.9453125,0.1621311455965042,,
39,,16999,,,0.953125,0.15376827120780945,,
39,,17049,,,0.9453125,0.10811898112297058,,
39,,17099,,,0.9765625,0.09741062670946121,,
39,,17149,,,0.953125,0.14840076863765717,,
39,,17199,,,0.9204545617103577,0.13639141619205475,,
39,,17199,,,,,0.9444000124931335,0.16872698068618774
,0.00025,17200,,,,,,
40,,17249,,,0.953125,0.12810173630714417,,
40,,17299,,,0.9609375,0.13788267970085144,,
40,,17349,,,0.9375,0.16977223753929138,,
40,,17399,,,0.9609375,0.09647463262081146,,
40,,17449,,,0.953125,0.12354613840579987,,
40,,17499,,,0.96875,0.09977594017982483,,
40,,17549,,,0.953125,0.11854235827922821,,
40,,17599,,,0.9609375,0.13254785537719727,,
40,,17629,,,,,0.9399999976158142,0.17108260095119476
,0.00025,17630,,,,,,
41,,17649,,,0.9453125,0.10239069163799286,,
41,,17699,,,0.9375,0.16868306696414948,,
41,,17749,,,0.9609375,0.16976138949394226,,
41,,17799,,,0.96875,0.10812386125326157,,
41,,17849,,,0.984375,0.05856749787926674,,
41,,17899,,,0.9609375,0.08810722082853317,,
41,,17949,,,0.9765625,0.0918320044875145,,
41,,17999,,,0.9609375,0.10198727250099182,,
41,,18049,,,0.984375,0.07343385368585587,,
41,,18059,,,,,0.9431999921798706,0.16796571016311646
,0.00025,18060,,,,,,
42,,18099,,,0.9765625,0.07321208715438843,,
42,,18149,,,0.9609375,0.08035461604595184,,
42,,18199,,,0.9765625,0.07482347637414932,,
42,,18249,,,0.984375,0.0694686621427536,,
42,,18299,,,0.953125,0.12528689205646515,,
42,,18349,,,0.9765625,0.09768511354923248,,
42,,18399,,,0.9453125,0.1721879243850708,,
42,,18449,,,0.953125,0.22955730557441711,,
42,,18489,,,,,0.9434000253677368,0.17413663864135742
,0.000125,18490,,,,,,
43,,18499,,,0.9375,0.14119192957878113,,
43,,18549,,,0.9453125,0.12006261199712753,,
43,,18599,,,0.953125,0.1100485548377037,,
43,,18649,,,0.96875,0.11953248828649521,,
43,,18699,,,0.953125,0.1305456906557083,,
43,,18749,,,0.9375,0.13994497060775757,,
43,,18799,,,0.9140625,0.1797557920217514,,
43,,18849,,,0.96875,0.11201982200145721,,
43,,18899,,,0.9609375,0.13651902973651886,,
43,,18919,,,,,0.9449999928474426,0.16686765849590302
,0.000125,18920,,,,,,
44,,18949,,,0.9765625,0.07471669465303421,,
44,,18999,,,0.9609375,0.09703943878412247,,
44,,19049,,,0.953125,0.1360453963279724,,
44,,19099,,,0.9375,0.16376164555549622,,
44,,19149,,,0.953125,0.08456381410360336,,
44,,19199,,,0.9765625,0.09349025785923004,,
44,,19249,,,0.9453125,0.1239510178565979,,
44,,19299,,,0.984375,0.10818056762218475,,
44,,19349,,,0.9318181872367859,0.1170215830206871,,
44,,19349,,,,,0.9453999996185303,0.15821470320224762
,0.000125,19350,,,,,,
45,,19399,,,0.9765625,0.09388923645019531,,
45,,19449,,,0.9765625,0.09012807905673981,,
45,,19499,,,0.96875,0.07160479575395584,,
45,,19549,,,0.953125,0.0960187241435051,,
45,,19599,,,0.9765625,0.07908131182193756,,
45,,19649,,,0.9921875,0.062498774379491806,,
45,,19699,,,0.9453125,0.14409025013446808,,
45,,19749,,,0.984375,0.05726528540253639,,
45,,19779,,,,,0.9470000267028809,0.16506552696228027
,0.000125,19780,,,,,,
46,,19799,,,0.921875,0.14607787132263184,,
46,,19849,,,0.9453125,0.11300788819789886,,
46,,19899,,,0.984375,0.09090724587440491,,
46,,19949,,,0.9609375,0.10873845219612122,,
46,,19999,,,0.96875,0.10219529271125793,,
46,,20049,,,0.9609375,0.09364292025566101,,
46,,20099,,,0.9765625,0.11717070639133453,,
46,,20149,,,0.9765625,0.05825180187821388,,
46,,20199,,,0.9453125,0.1105731874704361,,
46,,20209,,,,,0.9426000118255615,0.1730675995349884
,0.000125,20210,,,,,,
47,,20249,,,0.953125,0.1051546260714531,,
47,,20299,,,0.953125,0.09964396804571152,,
47,,20349,,,0.9765625,0.06367920339107513,,
47,,20399,,,0.9453125,0.17705172300338745,,
47,,20449,,,0.96875,0.08074412494897842,,
47,,20499,,,0.9375,0.12393979728221893,,
47,,20549,,,0.953125,0.115557000041008,,
47,,20599,,,0.9453125,0.16461557149887085,,
47,,20639,,,,,0.9472000002861023,0.1684730052947998
,0.000125,20640,,,,,,
48,,20649,,,0.953125,0.10912678390741348,,
48,,20699,,,0.96875,0.07519286870956421,,
48,,20749,,,0.9765625,0.06410956382751465,,
48,,20799,,,0.953125,0.11021142452955246,,
48,,20849,,,0.9765625,0.057215217500925064,,
48,,20899,,,0.9375,0.1523934155702591,,
48,,20949,,,0.9453125,0.13735702633857727,,
48,,20999,,,0.9453125,0.1412685364484787,,
48,,21049,,,0.953125,0.09486605226993561,,
48,,21069,,,,,0.9462000131607056,0.16555340588092804
,6.25e-05,21070,,,,,,
49,,21099,,,0.953125,0.1828240156173706,,
49,,21149,,,0.9453125,0.13703513145446777,,
49,,21199,,,0.953125,0.12829551100730896,,
49,,21249,,,0.9375,0.15155313909053802,,
49,,21299,,,0.9765625,0.056828342378139496,,
49,,21349,,,0.9296875,0.11900614947080612,,
49,,21399,,,0.96875,0.13997136056423187,,
49,,21449,,,0.96875,0.0722893700003624,,
49,,21499,,,0.9545454382896423,0.12849730253219604,,
49,,21499,,,,,0.944599986076355,0.16573883593082428
50,,21500,0.947700023651123,0.16074830293655396,,,,
