epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.59375,0.9744329452514648,,
0,99,0.609375,0.989201009273529,,
0,149,0.6953125,0.7423298954963684,,
0,199,0.7421875,0.6142529845237732,,
0,249,0.71875,0.7728852033615112,,
0,299,0.8046875,0.6324900388717651,,
0,349,0.71875,0.8213422298431396,,
0,399,0.75,0.686570405960083,,
0,429,,,0.7405999898910522,0.6781385540962219
1,449,0.734375,0.6958501935005188,,
1,499,0.7578125,0.6251997351646423,,
1,549,0.78125,0.5811829566955566,,
1,599,0.6796875,0.7202244400978088,,
1,649,0.796875,0.5080026984214783,,
1,699,0.7109375,0.6449375152587891,,
1,749,0.7578125,0.5803614854812622,,
1,799,0.7734375,0.4959148168563843,,
1,849,0.734375,0.6380339860916138,,
1,859,,,0.800000011920929,0.5461059212684631
2,899,0.7578125,0.6049861907958984,,
2,949,0.8984375,0.42963317036628723,,
2,999,0.828125,0.5413792133331299,,
2,1049,0.78125,0.6022801399230957,,
2,1099,0.7734375,0.5669780373573303,,
2,1149,0.7890625,0.523283839225769,,
2,1199,0.765625,0.6224768161773682,,
2,1249,0.8359375,0.40879082679748535,,
2,1289,,,0.8051999807357788,0.5200574994087219
3,1299,0.7734375,0.5372949838638306,,
3,1349,0.796875,0.5152528882026672,,
3,1399,0.78125,0.6020921468734741,,
3,1449,0.8203125,0.49141934514045715,,
3,1499,0.859375,0.4604298174381256,,
3,1549,0.84375,0.45267993211746216,,
3,1599,0.796875,0.5118368864059448,,
3,1649,0.8203125,0.46205589175224304,,
3,1699,0.7265625,0.6333670616149902,,
3,1719,,,0.8270000219345093,0.462889701128006
4,1749,0.8125,0.5311715602874756,,
4,1799,0.875,0.41771018505096436,,
4,1849,0.890625,0.3651929795742035,,
4,1899,0.8671875,0.4586588144302368,,
4,1949,0.8125,0.49328240752220154,,
4,1999,0.8125,0.4701572358608246,,
4,2049,0.828125,0.4381248354911804,,
4,2099,0.8203125,0.5229736566543579,,
4,2149,0.8636363744735718,0.42684316635131836,,
4,2149,,,0.8338000178337097,0.4430358409881592
5,2199,0.8125,0.46879732608795166,,
5,2249,0.859375,0.420669287443161,,
5,2299,0.859375,0.4624159336090088,,
5,2349,0.8046875,0.7349998354911804,,
5,2399,0.765625,0.5327737331390381,,
5,2449,0.8046875,0.46881335973739624,,
5,2499,0.875,0.34459030628204346,,
5,2549,0.8203125,0.5210298299789429,,
5,2579,,,0.8392000198364258,0.43812015652656555
6,2599,0.8203125,0.45372408628463745,,
6,2649,0.859375,0.42100411653518677,,
6,2699,0.8203125,0.4727511703968048,,
6,2749,0.7734375,0.6466196775436401,,
