epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.8671875,0.4777035713195801,,
0,99,,,0.796875,0.4658157527446747,,
0,149,,,0.8203125,0.4673224985599518,,
0,199,,,0.921875,0.28752604126930237,,
0,249,,,0.8515625,0.3419429063796997,,
0,299,,,0.8828125,0.3988519310951233,,
0,349,,,0.875,0.37532109022140503,,
0,399,,,0.8984375,0.28647494316101074,,
0,429,,,,,0.8966000080108643,0.2859065532684326
1,449,,,0.890625,0.29639801383018494,,
1,499,,,0.875,0.29177358746528625,,
1,549,,,0.8828125,0.36584895849227905,,
1,599,,,0.8984375,0.3061213791370392,,
1,649,,,0.9140625,0.2570132911205292,,
1,699,,,0.9296875,0.20675474405288696,,
1,749,,,0.890625,0.32345256209373474,,
1,799,,,0.921875,0.20126360654830933,,
1,849,,,0.9296875,0.2786359488964081,,
1,859,,,,,0.9085999727249146,0.2529199719429016
2,899,,,0.9296875,0.20369938015937805,,
2,949,,,0.90625,0.24231380224227905,,
2,999,,,0.90625,0.2634480595588684,,
2,1049,,,0.9296875,0.2729329466819763,,
2,1099,,,0.875,0.3166072964668274,,
2,1149,,,0.859375,0.3597790598869324,,
2,1199,,,0.8984375,0.21556326746940613,,
2,1249,,,0.890625,0.3404635488986969,,
2,1289,,,,,0.9118000268936157,0.2495862990617752
3,1299,,,0.9375,0.23312829434871674,,
3,1349,,,0.8984375,0.30565154552459717,,
3,1399,,,0.90625,0.26456308364868164,,
3,1449,,,0.9375,0.19315274059772491,,
3,1499,,,0.9140625,0.21353937685489655,,
3,1549,,,0.921875,0.24559974670410156,,
3,1599,,,0.921875,0.24154287576675415,,
3,1649,,,0.90625,0.23545363545417786,,
3,1699,,,0.90625,0.26684048771858215,,
3,1719,,,,,0.9232000112533569,0.2171802669763565
4,1749,,,0.9375,0.14353051781654358,,
4,1799,,,0.9375,0.1540244221687317,,
4,1849,,,0.9375,0.1393667459487915,,
4,1899,,,0.9609375,0.15050576627254486,,
4,1949,,,0.9296875,0.16719897091388702,,
4,1999,,,0.90625,0.28340548276901245,,
4,2049,,,0.9453125,0.16963106393814087,,
4,2099,,,0.9296875,0.23839950561523438,,
4,2149,,,0.9545454382896423,0.12891477346420288,,
4,2149,,,,,0.9211999773979187,0.22804240882396698
5,2199,,,0.984375,0.10457459092140198,,
5,2249,,,0.9296875,0.13502229750156403,,
5,2299,,,0.9375,0.13748866319656372,,
5,2349,,,0.9375,0.17749713361263275,,
5,2399,,,0.9375,0.1558522880077362,,
5,2449,,,0.953125,0.15428343415260315,,
5,2499,,,0.921875,0.17356397211551666,,
5,2549,,,0.9375,0.20245006680488586,,
5,2579,,,,,0.9187999963760376,0.2330218255519867
6,2599,,,0.953125,0.13611820340156555,,
6,2649,,,0.9453125,0.16576173901557922,,
6,2699,,,0.9296875,0.1519882082939148,,
6,2749,,,0.9296875,0.15570995211601257,,
6,2799,,,0.9375,0.17554450035095215,,
6,2849,,,0.9609375,0.12869180738925934,,
6,2899,,,0.90625,0.17332106828689575,,
6,2949,,,0.9453125,0.18032877147197723,,
6,2999,,,0.9375,0.18009962141513824,,
6,3009,,,,,0.9214000105857849,0.22397541999816895
7,3010,0.9171000123023987,0.235300213098526,,,,
