epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.78125,0.607795238494873,,
0,99,,,0.8515625,0.45745131373405457,,
0,149,,,0.8828125,0.30621182918548584,,
0,199,,,0.8828125,0.3156142830848694,,
0,249,,,0.8046875,0.5791119933128357,,
0,299,,,0.8828125,0.3864132761955261,,
0,349,,,0.875,0.3032137155532837,,
0,399,,,0.8671875,0.3344574570655823,,
0,429,,,,,0.8906000256538391,0.2910204231739044
1,449,,,0.9296875,0.22189681231975555,,
1,499,,,0.890625,0.2676849365234375,,
1,549,,,0.8984375,0.22995847463607788,,
1,599,,,0.921875,0.20607319474220276,,
1,649,,,0.9140625,0.26422983407974243,,
1,699,,,0.890625,0.3182813823223114,,
1,749,,,0.9296875,0.1654433012008667,,
1,799,,,0.9296875,0.1922561526298523,,
1,849,,,0.90625,0.2541549503803253,,
1,859,,,,,0.9021999835968018,0.25657856464385986
2,899,,,0.9609375,0.13289733231067657,,
2,949,,,0.9140625,0.19937816262245178,,
2,999,,,0.9453125,0.16263164579868317,,
2,1049,,,0.9453125,0.16602781414985657,,
2,1099,,,0.9140625,0.2399301826953888,,
2,1149,,,0.9140625,0.20823420584201813,,
2,1199,,,0.890625,0.2716495394706726,,
2,1249,,,0.921875,0.2830885350704193,,
2,1289,,,,,0.9107999801635742,0.24942539632320404
3,1299,,,0.890625,0.18430280685424805,,
3,1349,,,0.8828125,0.3263967037200928,,
3,1399,,,0.9453125,0.11654781550168991,,
3,1449,,,0.9375,0.13537493348121643,,
3,1499,,,0.890625,0.2504756450653076,,
3,1549,,,0.921875,0.18489651381969452,,
3,1599,,,0.921875,0.16076284646987915,,
3,1649,,,0.90625,0.22625243663787842,,
3,1699,,,0.9453125,0.1452842652797699,,
3,1719,,,,,0.9178000092506409,0.22515028715133667
4,1749,,,0.9296875,0.20930854976177216,,
4,1799,,,0.9296875,0.19451004266738892,,
4,1849,,,0.8984375,0.2580586075782776,,
4,1899,,,0.921875,0.23465150594711304,,
4,1949,,,0.921875,0.23760324716567993,,
4,1999,,,0.9609375,0.15158124268054962,,
4,2049,,,0.953125,0.17271998524665833,,
4,2099,,,0.8984375,0.17704015970230103,,
4,2149,,,0.9545454382896423,0.15328027307987213,,
4,2149,,,,,0.9164000153541565,0.22114364802837372
5,2199,,,0.9609375,0.16898983716964722,,
5,2249,,,0.9453125,0.13298918306827545,,
5,2299,,,0.9375,0.15181252360343933,,
5,2349,,,0.9609375,0.15574684739112854,,
5,2399,,,0.9609375,0.09609425067901611,,
5,2449,,,0.9609375,0.1289859116077423,,
5,2499,,,0.9375,0.20220309495925903,,
5,2549,,,0.9609375,0.16045019030570984,,
5,2579,,,,,0.9200000166893005,0.22245046496391296
6,2599,,,0.9453125,0.14816448092460632,,
6,2649,,,0.9765625,0.08258235454559326,,
6,2699,,,0.953125,0.17160683870315552,,
6,2749,,,0.9453125,0.1672394573688507,,
6,2799,,,0.9375,0.23553121089935303,,
6,2849,,,0.9375,0.14617109298706055,,
6,2899,,,0.921875,0.19181767106056213,,
6,2949,,,0.9375,0.13018633425235748,,
6,2999,,,0.9296875,0.14227765798568726,,
6,3009,,,,,0.9261999726295471,0.21300388872623444
7,3049,,,0.953125,0.13493245840072632,,
7,3099,,,0.9609375,0.09384118020534515,,
7,3149,,,0.953125,0.08438581228256226,,
7,3199,,,0.953125,0.10393472760915756,,
7,3249,,,0.9609375,0.10073016583919525,,
7,3299,,,0.9609375,0.14904235303401947,,
7,3349,,,0.96875,0.10290777683258057,,
7,3399,,,0.9609375,0.1733870804309845,,
7,3439,,,,,0.9261999726295471,0.20762427151203156
8,3449,,,0.9765625,0.06920167803764343,,
8,3499,,,0.9609375,0.08579222857952118,,
8,3549,,,0.984375,0.07313523441553116,,
8,3599,,,0.96875,0.0820973813533783,,
8,3649,,,0.9609375,0.1387576162815094,,
8,3699,,,0.9765625,0.06163322180509567,,
8,3749,,,0.9609375,0.15326623618602753,,
8,3799,,,0.9375,0.1370033621788025,,
8,3849,,,0.984375,0.05813975632190704,,
8,3869,,,,,0.9233999848365784,0.21028485894203186
9,3899,,,0.953125,0.10686859488487244,,
9,3949,,,0.96875,0.09052721410989761,,
9,3999,,,0.9765625,0.06966811418533325,,
9,4049,,,0.984375,0.07619018852710724,,
9,4099,,,0.9375,0.19111904501914978,,
9,4149,,,0.9453125,0.10484272986650467,,
9,4199,,,0.96875,0.076480433344841,,
9,4249,,,0.96875,0.06798477470874786,,
9,4299,,,0.9545454382896423,0.16624316573143005,,
9,4299,,,,,0.9193999767303467,0.2348785102367401
10,4349,,,0.9765625,0.05878206342458725,,
10,4399,,,0.984375,0.05389641597867012,,
10,4449,,,0.96875,0.07348401844501495,,
10,4499,,,0.984375,0.044513970613479614,,
10,4549,,,0.9921875,0.07052534073591232,,
10,4599,,,0.9921875,0.026800256222486496,,
10,4649,,,0.984375,0.04234806448221207,,
10,4699,,,0.9921875,0.01935655251145363,,
10,4729,,,,,0.9348000288009644,0.2109757363796234
11,4730,0.9280999898910522,0.24990767240524292,,,,
