epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.828125,0.43928688764572144,,
0,99,,,0.859375,0.36627864837646484,,
0,149,,,0.8515625,0.4108787775039673,,
0,199,,,0.8671875,0.3630037307739258,,
0,249,,,0.8671875,0.38583457469940186,,
0,299,,,0.859375,0.3029898405075073,,
0,349,,,0.90625,0.2458643764257431,,
0,399,,,0.9609375,0.1212659478187561,,
0,429,,,,,0.8762000203132629,0.32664576172828674
1,449,,,0.8671875,0.28493785858154297,,
1,499,,,0.90625,0.2242637276649475,,
1,549,,,0.9296875,0.21419695019721985,,
1,599,,,0.890625,0.23045304417610168,,
1,649,,,0.90625,0.22518643736839294,,
1,699,,,0.9375,0.20853066444396973,,
1,749,,,0.953125,0.1562022864818573,,
1,799,,,0.9453125,0.14167143404483795,,
1,849,,,0.921875,0.20089000463485718,,
1,859,,,,,0.9031999707221985,0.25512224435806274
2,899,,,0.96875,0.07946276664733887,,
2,949,,,0.9140625,0.20444931089878082,,
2,999,,,0.9453125,0.2101968377828598,,
2,1049,,,0.921875,0.17476385831832886,,
2,1099,,,0.90625,0.21486222743988037,,
2,1149,,,0.9375,0.21277762949466705,,
2,1199,,,0.9296875,0.16011372208595276,,
2,1249,,,0.8984375,0.24682778120040894,,
2,1289,,,,,0.9121999740600586,0.23205651342868805
3,1299,,,0.953125,0.1572706401348114,,
3,1349,,,0.90625,0.20942267775535583,,
3,1399,,,0.9375,0.16577066481113434,,
3,1449,,,0.9296875,0.1546098291873932,,
3,1499,,,0.9375,0.16973569989204407,,
3,1549,,,0.9375,0.12654128670692444,,
3,1599,,,0.9375,0.16358190774917603,,
3,1649,,,0.875,0.27834904193878174,,
3,1699,,,0.96875,0.15937510132789612,,
3,1719,,,,,0.925599992275238,0.20361429452896118
4,1749,,,0.953125,0.17965295910835266,,
4,1799,,,0.9609375,0.1654820442199707,,
4,1849,,,0.9296875,0.17821356654167175,,
4,1899,,,0.8828125,0.31009441614151,,
4,1949,,,0.9609375,0.11713617295026779,,
4,1999,,,0.953125,0.1294914036989212,,
4,2049,,,0.9140625,0.20567844808101654,,
4,2099,,,0.953125,0.1557941734790802,,
4,2149,,,0.9545454382896423,0.1510021835565567,,
4,2149,,,,,0.9223999977111816,0.20559394359588623
5,2199,,,0.921875,0.1788943111896515,,
5,2249,,,0.9609375,0.13852867484092712,,
5,2299,,,0.9296875,0.13941830396652222,,
5,2349,,,0.953125,0.14988434314727783,,
5,2399,,,0.9609375,0.1009303629398346,,
5,2449,,,0.9609375,0.12097214162349701,,
5,2499,,,0.9375,0.11819136142730713,,
5,2549,,,0.921875,0.17284858226776123,,
5,2579,,,,,0.9186000227928162,0.22600126266479492
6,2599,,,0.953125,0.1379275768995285,,
6,2649,,,0.984375,0.07420989125967026,,
6,2699,,,0.96875,0.07849417626857758,,
6,2749,,,0.9453125,0.16040900349617004,,
6,2799,,,0.953125,0.10345038026571274,,
6,2849,,,0.953125,0.0970134437084198,,
6,2899,,,0.9609375,0.10308153927326202,,
6,2949,,,0.8984375,0.206288143992424,,
6,2999,,,0.953125,0.10957679152488708,,
6,3009,,,,,0.9089999794960022,0.24851034581661224
7,3010,0.9070000052452087,0.27220916748046875,,,,
