epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.6328125,1.0657533407211304,,
0,99,0.6796875,0.8329095840454102,,
0,149,0.71875,0.7893707752227783,,
0,199,0.6640625,0.8033448457717896,,
0,249,0.6953125,0.7468767166137695,,
0,299,0.7421875,0.6328186392784119,,
0,349,0.6953125,0.8176000714302063,,
0,399,0.6953125,0.7995440363883972,,
0,429,,,0.7487999796867371,0.6664281487464905
1,449,0.7734375,0.757864773273468,,
1,499,0.8125,0.571388840675354,,
1,549,0.734375,0.709180474281311,,
1,599,0.78125,0.5674839019775391,,
1,649,0.78125,0.5399389266967773,,
1,699,0.7734375,0.581767201423645,,
1,749,0.7578125,0.6096499562263489,,
1,799,0.734375,0.7499645352363586,,
1,849,0.8046875,0.44594088196754456,,
1,859,,,0.7847999930381775,0.5839262008666992
2,899,0.765625,0.5927417278289795,,
2,949,0.8203125,0.5987251996994019,,
2,999,0.828125,0.43263959884643555,,
2,1049,0.75,0.6866248250007629,,
2,1099,0.7890625,0.5186829566955566,,
2,1149,0.78125,0.5434849858283997,,
2,1199,0.828125,0.505717396736145,,
2,1249,0.8125,0.5567288398742676,,
2,1289,,,0.817799985408783,0.48451387882232666
3,1299,0.8046875,0.5246599912643433,,
3,1349,0.8359375,0.4222269654273987,,
3,1399,0.8359375,0.4404143691062927,,
3,1449,0.84375,0.42060238122940063,,
3,1499,0.7734375,0.5926942825317383,,
3,1549,0.8359375,0.4342157542705536,,
3,1599,0.8828125,0.40153592824935913,,
3,1649,0.8359375,0.4738231897354126,,
3,1699,0.84375,0.40734899044036865,,
3,1719,,,0.8223999738693237,0.4565177857875824
4,1749,0.7734375,0.5328519344329834,,
4,1799,0.8828125,0.4039674997329712,,
4,1849,0.796875,0.48137474060058594,,
4,1899,0.828125,0.4563758671283722,,
4,1949,0.859375,0.3832431733608246,,
4,1999,0.875,0.4184327721595764,,
4,2049,0.8046875,0.4443044662475586,,
4,2099,0.8203125,0.3800368905067444,,
4,2149,0.8863636255264282,0.41427841782569885,,
4,2149,,,0.8169999718666077,0.46514615416526794
5,2199,0.84375,0.3865479528903961,,
5,2249,0.8125,0.5005446672439575,,
5,2299,0.8515625,0.41985076665878296,,
5,2349,0.8203125,0.399603933095932,,
5,2399,0.8515625,0.3809853196144104,,
5,2449,0.859375,0.42541277408599854,,
5,2499,0.8203125,0.592046856880188,,
5,2549,0.8203125,0.4858759045600891,,
5,2579,,,0.8288000226020813,0.44827842712402344
6,2599,0.8203125,0.38473039865493774,,
6,2649,0.890625,0.33397358655929565,,
6,2699,0.859375,0.3840782046318054,,
6,2749,0.859375,0.4301740527153015,,
6,2799,0.859375,0.39742743968963623,,
6,2849,0.8125,0.5983637571334839,,
6,2899,0.875,0.4011021852493286,,
6,2949,0.8359375,0.423164427280426,,
6,2999,0.859375,0.45631980895996094,,
6,3009,,,0.8378000259399414,0.42356571555137634
7,3049,0.84375,0.44062894582748413,,
7,3099,0.859375,0.50340336561203,,
7,3149,0.8671875,0.3916599750518799,,
7,3199,0.8515625,0.43188008666038513,,
7,3249,0.84375,0.4744488298892975,,
7,3299,0.8671875,0.37473443150520325,,
7,3349,0.8515625,0.3693569302558899,,
7,3399,0.765625,0.6594691872596741,,
7,3439,,,0.840399980545044,0.42717406153678894
8,3449,0.84375,0.4296395778656006,,
8,3499,0.8828125,0.32306766510009766,,
8,3549,0.796875,0.507675290107727,,
8,3599,0.8515625,0.37715816497802734,,
8,3649,0.8359375,0.4624372124671936,,
8,3699,0.8203125,0.5096144676208496,,
8,3749,0.8046875,0.609078049659729,,
8,3799,0.875,0.37062522768974304,,
8,3849,0.8984375,0.26847171783447266,,
8,3869,,,0.8456000089645386,0.401954710483551
9,3899,0.875,0.3551395833492279,,
9,3949,0.828125,0.4465280771255493,,
9,3999,0.859375,0.3937861919403076,,
9,4049,0.84375,0.4034508168697357,,
9,4099,0.8671875,0.44958850741386414,,
9,4149,0.875,0.3311655819416046,,
9,4199,0.8515625,0.4559136927127838,,
9,4249,0.796875,0.44559672474861145,,
9,4299,0.8068181872367859,0.4360659420490265,,
9,4299,,,0.8420000076293945,0.40880224108695984
