epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.7421875,0.7696118354797363,,
0,99,,,0.8046875,0.5559821128845215,,
0,149,,,0.890625,0.2866034507751465,,
0,199,,,0.890625,0.4553060829639435,,
0,249,,,0.8984375,0.3192548155784607,,
0,299,,,0.96875,0.1918615847826004,,
0,349,,,0.9609375,0.14527282118797302,,
0,399,,,0.921875,0.20442861318588257,,
0,429,,,,,0.9629999995231628,0.1155739277601242
1,449,,,0.9609375,0.1586565375328064,,
1,499,,,0.9140625,0.20065061748027802,,
1,549,,,0.953125,0.22173598408699036,,
1,599,,,0.9296875,0.16129770874977112,,
1,649,,,0.9375,0.19670650362968445,,
1,699,,,1.0,0.04437156766653061,,
1,749,,,0.9375,0.18677252531051636,,
1,799,,,0.9609375,0.14735350012779236,,
1,849,,,0.9296875,0.28166425228118896,,
1,859,,,,,0.9775999784469604,0.07399585843086243
2,899,,,0.953125,0.12451977282762527,,
2,949,,,0.984375,0.09589575976133347,,
2,999,,,0.96875,0.10827240347862244,,
2,1049,,,0.96875,0.11466995626688004,,
2,1099,,,0.9375,0.17701607942581177,,
2,1149,,,1.0,0.051438406109809875,,
2,1199,,,0.9609375,0.1239808052778244,,
2,1249,,,0.921875,0.19220364093780518,,
2,1289,,,,,0.9797999858856201,0.06449981778860092
3,1299,,,0.96875,0.11590351909399033,,
3,1349,,,0.9453125,0.2111312448978424,,
3,1399,,,0.9765625,0.09548868238925934,,
3,1449,,,0.96875,0.07654529809951782,,
3,1499,,,0.953125,0.1221066564321518,,
3,1549,,,0.96875,0.09053472429513931,,
3,1599,,,0.96875,0.11440442502498627,,
3,1649,,,0.984375,0.09338191151618958,,
3,1699,,,0.953125,0.12560249865055084,,
3,1719,,,,,0.9829999804496765,0.05669417604804039
4,1749,,,1.0,0.03235078230500221,,
4,1799,,,0.96875,0.11148013174533844,,
4,1849,,,0.9609375,0.13802741467952728,,
4,1899,,,0.9609375,0.11160637438297272,,
4,1949,,,0.9609375,0.08045274019241333,,
4,1999,,,0.984375,0.04415849596261978,,
4,2049,,,0.96875,0.09121834486722946,,
4,2099,,,0.9609375,0.08534448593854904,,
4,2149,,,0.9204545617103577,0.16278721392154694,,
4,2149,,,,,0.9828000068664551,0.055329106748104095
5,2199,,,0.9921875,0.060661233961582184,,
5,2249,,,1.0,0.03765061870217323,,
5,2299,,,0.984375,0.07974760979413986,,
5,2349,,,0.9609375,0.09194745123386383,,
5,2399,,,0.96875,0.09601302444934845,,
5,2449,,,0.984375,0.05841748043894768,,
5,2499,,,0.9765625,0.06421450525522232,,
5,2549,,,0.9609375,0.10020837932825089,,
5,2579,,,,,0.9828000068664551,0.05288626253604889
6,2599,,,0.9609375,0.12457763403654099,,
6,2649,,,0.9609375,0.09010729938745499,,
6,2699,,,0.96875,0.10370726883411407,,
6,2749,,,0.9765625,0.1036505401134491,,
6,2799,,,0.984375,0.11262349784374237,,
6,2849,,,0.9609375,0.07006402313709259,,
6,2899,,,0.9765625,0.06718865782022476,,
6,2949,,,0.96875,0.06922423839569092,,
6,2999,,,0.9921875,0.08042032271623611,,
6,3009,,,,,0.9854000210762024,0.050511762499809265
7,3049,,,0.9765625,0.09005651623010635,,
7,3099,,,0.96875,0.1072414219379425,,
7,3149,,,0.984375,0.07583944499492645,,
7,3199,,,0.984375,0.033449236303567886,,
7,3249,,,0.96875,0.07435329258441925,,
7,3299,,,0.984375,0.09136232733726501,,
7,3349,,,0.9765625,0.05158431828022003,,
7,3399,,,0.9765625,0.07467443495988846,,
7,3439,,,,,0.9825999736785889,0.06124730408191681
8,3449,,,0.96875,0.06886184215545654,,
8,3499,,,0.9609375,0.10506132245063782,,
8,3549,,,0.953125,0.11167531460523605,,
8,3599,,,0.984375,0.05694703385233879,,
8,3649,,,0.9609375,0.14620301127433777,,
8,3699,,,0.9921875,0.04968075454235077,,
8,3749,,,0.984375,0.06078893691301346,,
8,3799,,,0.984375,0.03758769482374191,,
8,3849,,,0.96875,0.10820159316062927,,
8,3869,,,,,0.9860000014305115,0.04667479172348976
9,3899,,,0.9921875,0.025831392034888268,,
9,3949,,,0.96875,0.12024755775928497,,
9,3999,,,0.984375,0.06328637897968292,,
9,4049,,,0.984375,0.04850652068853378,,
9,4099,,,0.9765625,0.09679723531007767,,
9,4149,,,0.9921875,0.028160082176327705,,
9,4199,,,0.9921875,0.03558933734893799,,
9,4249,,,0.984375,0.051749877631664276,,
9,4299,,,0.9886363744735718,0.022979648783802986,,
9,4299,,,,,0.9878000020980835,0.04860839620232582
10,4300,0.07819999754428864,8.57995319366455,,,,
