epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.8671875,0.3801037669181824,,
0,99,,,0.9140625,0.2599497437477112,,
0,149,,,0.953125,0.13690659403800964,,
0,199,,,0.9609375,0.14561738073825836,,
0,249,,,0.9609375,0.160260409116745,,
0,299,,,0.96875,0.08665943145751953,,
0,349,,,0.96875,0.08557784557342529,,
0,399,,,0.9609375,0.10686198621988297,,
0,429,,,,,0.9819999933242798,0.06349848955869675
1,449,,,0.9765625,0.12390097975730896,,
1,499,,,0.984375,0.10049935430288315,,
1,549,,,0.9609375,0.16260145604610443,,
1,599,,,0.96875,0.12083538621664047,,
1,649,,,0.9765625,0.07951164990663528,,
1,699,,,0.9765625,0.08393862098455429,,
1,749,,,0.9921875,0.021795017644762993,,
1,799,,,0.984375,0.037294697016477585,,
1,849,,,0.9921875,0.033568479120731354,,
1,859,,,,,0.9836000204086304,0.0512179397046566
2,899,,,0.9765625,0.055641721934080124,,
2,949,,,0.9921875,0.029601844027638435,,
2,999,,,1.0,0.018439732491970062,,
2,1049,,,0.9765625,0.06766951829195023,,
2,1099,,,0.984375,0.08004915714263916,,
2,1149,,,0.96875,0.08711288869380951,,
2,1199,,,0.9921875,0.027634071186184883,,
2,1249,,,1.0,0.015321094542741776,,
2,1289,,,,,0.9883999824523926,0.036062370985746384
3,1299,,,0.984375,0.04238054156303406,,
3,1349,,,1.0,0.010815588757395744,,
3,1399,,,0.984375,0.053131137043237686,,
3,1449,,,0.984375,0.034505877643823624,,
3,1499,,,0.9765625,0.07839136570692062,,
3,1549,,,0.9921875,0.025483107194304466,,
3,1599,,,0.9921875,0.053593266755342484,,
3,1649,,,0.9609375,0.09683524817228317,,
3,1699,,,0.9921875,0.020234178751707077,,
3,1719,,,,,0.9905999898910522,0.030932007357478142
4,1749,,,0.984375,0.029695935547351837,,
4,1799,,,0.9765625,0.057689517736434937,,
4,1849,,,1.0,0.005946815945208073,,
4,1899,,,1.0,0.012407231144607067,,
4,1949,,,0.984375,0.03161202371120453,,
4,1999,,,0.9921875,0.04077191278338432,,
4,2049,,,0.984375,0.04186171665787697,,
4,2099,,,1.0,0.01596160978078842,,
4,2149,,,1.0,0.0033110915683209896,,
4,2149,,,,,0.9900000095367432,0.03245193883776665
5,2199,,,0.9921875,0.01114015281200409,,
5,2249,,,0.9921875,0.02474214881658554,,
5,2299,,,0.96875,0.0780947208404541,,
5,2349,,,0.9921875,0.011356500908732414,,
5,2399,,,1.0,0.007567780092358589,,
5,2449,,,1.0,0.0021066609770059586,,
5,2499,,,0.984375,0.031999923288822174,,
5,2549,,,0.984375,0.021342575550079346,,
5,2579,,,,,0.9894000291824341,0.03601546213030815
6,2599,,,0.984375,0.0428018644452095,,
6,2649,,,0.9921875,0.018615180626511574,,
6,2699,,,1.0,0.0072655691765248775,,
6,2749,,,0.984375,0.029651284217834473,,
6,2799,,,0.9765625,0.04961090162396431,,
6,2849,,,0.9921875,0.02803468331694603,,
6,2899,,,0.9921875,0.012503336183726788,,
6,2949,,,0.9921875,0.013844618573784828,,
6,2999,,,0.9921875,0.017996802926063538,,
6,3009,,,,,0.9901999831199646,0.03523219749331474
7,3010,0.9909999966621399,0.02964129112660885,,,,
