epoch,lr-Adam,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.0005,0,,,,,,
0,,49,,,0.6640625,0.8155277967453003,,
0,,99,,,0.7734375,0.599951982498169,,
0,,149,,,0.796875,0.5636341571807861,,
0,,199,,,0.796875,0.5120232105255127,,
0,,249,,,0.7734375,0.5616642832756042,,
0,,299,,,0.84375,0.48033833503723145,,
0,,349,,,0.8671875,0.3215827941894531,,
0,,399,,,0.84375,0.42626237869262695,,
0,,429,,,,,0.8529999852180481,0.40618476271629333
,0.0005,430,,,,,,
1,,449,,,0.796875,0.5262194275856018,,
1,,499,,,0.859375,0.389772891998291,,
1,,549,,,0.859375,0.36192578077316284,,
1,,599,,,0.8203125,0.38143613934516907,,
1,,649,,,0.8125,0.45854103565216064,,
1,,699,,,0.9296875,0.236516535282135,,
1,,749,,,0.859375,0.39284127950668335,,
1,,799,,,0.8203125,0.4797462224960327,,
1,,849,,,0.875,0.31953418254852295,,
1,,859,,,,,0.8805999755859375,0.3312475383281708
,0.0005,860,,,,,,
2,,899,,,0.859375,0.3819252848625183,,
2,,949,,,0.859375,0.4438839554786682,,
2,,999,,,0.890625,0.39125892519950867,,
2,,1049,,,0.8984375,0.3710521459579468,,
2,,1099,,,0.9140625,0.29293933510780334,,
2,,1149,,,0.875,0.3879222571849823,,
2,,1199,,,0.84375,0.38749581575393677,,
2,,1249,,,0.9453125,0.1919064074754715,,
2,,1289,,,,,0.883400022983551,0.3153698146343231
,0.0005,1290,,,,,,
3,,1299,,,0.890625,0.3266300559043884,,
3,,1349,,,0.9296875,0.20774495601654053,,
3,,1399,,,0.90625,0.2075556516647339,,
3,,1449,,,0.828125,0.4650574326515198,,
3,,1499,,,0.90625,0.26125186681747437,,
3,,1549,,,0.90625,0.36313408613204956,,
3,,1599,,,0.8984375,0.28334760665893555,,
3,,1649,,,0.9140625,0.28646355867385864,,
3,,1699,,,0.890625,0.27475422620773315,,
3,,1719,,,,,0.8838000297546387,0.31415966153144836
,0.0005,1720,,,,,,
4,,1749,,,0.8984375,0.29905813932418823,,
4,,1799,,,0.921875,0.2580617368221283,,
4,,1849,,,0.9140625,0.25157180428504944,,
4,,1899,,,0.9140625,0.26025959849357605,,
4,,1949,,,0.953125,0.17302915453910828,,
4,,1999,,,0.8671875,0.31228989362716675,,
4,,2049,,,0.9140625,0.23128288984298706,,
4,,2099,,,0.8984375,0.2877195477485657,,
4,,2149,,,0.9318181872367859,0.16569960117340088,,
4,,2149,,,,,0.8999999761581421,0.2710316777229309
,0.0005,2150,,,,,,
5,,2199,,,0.890625,0.3118176758289337,,
5,,2249,,,0.9296875,0.252265065908432,,
5,,2299,,,0.8515625,0.42444270849227905,,
5,,2349,,,0.90625,0.2506481111049652,,
5,,2399,,,0.921875,0.2890550494194031,,
5,,2449,,,0.875,0.254125714302063,,
5,,2499,,,0.90625,0.25283515453338623,,
5,,2549,,,0.8984375,0.2889689803123474,,
5,,2579,,,,,0.9020000100135803,0.2665506601333618
,0.0005,2580,,,,,,
6,,2599,,,0.890625,0.3452299237251282,,
6,,2649,,,0.921875,0.18943741917610168,,
6,,2699,,,0.9375,0.21944047510623932,,
6,,2749,,,0.90625,0.338986873626709,,
6,,2799,,,0.8828125,0.3018658757209778,,
6,,2849,,,0.8828125,0.2510981857776642,,
6,,2899,,,0.921875,0.19994273781776428,,
6,,2949,,,0.9296875,0.20193855464458466,,
6,,2999,,,0.9296875,0.30445897579193115,,
6,,3009,,,,,0.9039999842643738,0.26968416571617126
,0.0005,3010,,,,,,
7,,3049,,,0.9140625,0.24750804901123047,,
7,,3099,,,0.890625,0.33339041471481323,,
7,,3149,,,0.890625,0.31384533643722534,,
7,,3199,,,0.9296875,0.20345909893512726,,
7,,3249,,,0.8984375,0.26932239532470703,,
7,,3299,,,0.90625,0.2892029285430908,,
7,,3349,,,0.921875,0.18879438936710358,,
7,,3399,,,0.8046875,0.46912869811058044,,
7,,3439,,,,,0.9115999937057495,0.24596337974071503
,0.0005,3440,,,,,,
8,,3449,,,0.921875,0.21892580389976501,,
8,,3499,,,0.921875,0.2604382038116455,,
8,,3549,,,0.8984375,0.2403583526611328,,
8,,3599,,,0.921875,0.19839082658290863,,
8,,3649,,,0.9140625,0.22036691009998322,,
8,,3699,,,0.875,0.3262447416782379,,
8,,3749,,,0.921875,0.1916096806526184,,
8,,3799,,,0.921875,0.1749681830406189,,
8,,3849,,,0.8359375,0.4302719831466675,,
8,,3869,,,,,0.9190000295639038,0.23285003006458282
,0.0005,3870,,,,,,
9,,3899,,,0.890625,0.29761841893196106,,
9,,3949,,,0.9453125,0.14064565300941467,,
9,,3999,,,0.921875,0.18466982245445251,,
9,,4049,,,0.8984375,0.24771559238433838,,
9,,4099,,,0.921875,0.21002572774887085,,
9,,4149,,,0.953125,0.1574835479259491,,
9,,4199,,,0.9296875,0.2257368266582489,,
9,,4249,,,0.9140625,0.25204500555992126,,
9,,4299,,,0.9431818127632141,0.20202089846134186,,
9,,4299,,,,,0.9161999821662903,0.22881196439266205
,0.0005,4300,,,,,,
10,,4349,,,0.8828125,0.2831186056137085,,
10,,4399,,,0.890625,0.31319984793663025,,
10,,4449,,,0.9375,0.19990988075733185,,
10,,4499,,,0.8984375,0.2490866780281067,,
10,,4549,,,0.8671875,0.3794398605823517,,
10,,4599,,,0.9375,0.1622854769229889,,
10,,4649,,,0.90625,0.21881435811519623,,
10,,4699,,,0.921875,0.2099495828151703,,
10,,4729,,,,,0.9156000018119812,0.23465596139431
,0.0005,4730,,,,,,
11,,4749,,,0.9453125,0.17421087622642517,,
11,,4799,,,0.9140625,0.1812923699617386,,
11,,4849,,,0.90625,0.2871348559856415,,
11,,4899,,,0.9140625,0.2247399389743805,,
11,,4949,,,0.9140625,0.23651736974716187,,
11,,4999,,,0.9140625,0.2921662926673889,,
11,,5049,,,0.9453125,0.17130401730537415,,
11,,5099,,,0.921875,0.21128752827644348,,
11,,5149,,,0.90625,0.28515660762786865,,
11,,5159,,,,,0.9106000065803528,0.24660488963127136
,0.0005,5160,,,,,,
12,,5199,,,0.8984375,0.23925067484378815,,
12,,5249,,,0.8984375,0.23312273621559143,,
12,,5299,,,0.9296875,0.24421140551567078,,
12,,5349,,,0.9375,0.1562231034040451,,
12,,5399,,,0.921875,0.21025916934013367,,
12,,5449,,,0.90625,0.2428494244813919,,
12,,5499,,,0.9375,0.18550215661525726,,
12,,5549,,,0.9140625,0.25073477625846863,,
12,,5589,,,,,0.9196000099182129,0.22182822227478027
,0.0005,5590,,,,,,
13,,5599,,,0.9609375,0.1463765650987625,,
13,,5649,,,0.9140625,0.25739365816116333,,
13,,5699,,,0.890625,0.20533926784992218,,
13,,5749,,,0.9140625,0.253230482339859,,
13,,5799,,,0.9140625,0.22665667533874512,,
13,,5849,,,0.8671875,0.3276384472846985,,
13,,5899,,,0.9453125,0.1461540311574936,,
13,,5949,,,0.84375,0.4130147397518158,,
13,,5999,,,0.890625,0.2709314525127411,,
13,,6019,,,,,0.9193999767303467,0.23516768217086792
,0.0005,6020,,,,,,
14,,6049,,,0.921875,0.18746790289878845,,
14,,6099,,,0.90625,0.2377498596906662,,
14,,6149,,,0.9296875,0.1956397444009781,,
14,,6199,,,0.9375,0.22223562002182007,,
14,,6249,,,0.9140625,0.2938340902328491,,
14,,6299,,,0.9296875,0.17386186122894287,,
14,,6349,,,0.9453125,0.16348177194595337,,
14,,6399,,,0.90625,0.2429041862487793,,
14,,6449,,,0.9204545617103577,0.2805663049221039,,
14,,6449,,,,,0.91839998960495,0.2284729778766632
,0.0005,6450,,,,,,
15,,6499,,,0.9296875,0.16255347430706024,,
15,,6549,,,0.9375,0.19231048226356506,,
15,,6599,,,0.921875,0.1723109781742096,,
15,,6649,,,0.90625,0.19453829526901245,,
15,,6699,,,0.953125,0.16595976054668427,,
15,,6749,,,0.9453125,0.13569030165672302,,
15,,6799,,,0.9453125,0.17910775542259216,,
15,,6849,,,0.9296875,0.19804994761943817,,
15,,6879,,,,,0.9179999828338623,0.2249411791563034
,0.0005,6880,,,,,,
16,,6899,,,0.9296875,0.22272737324237823,,
16,,6949,,,0.9375,0.15658754110336304,,
16,,6999,,,0.8984375,0.1856231391429901,,
16,,7049,,,0.875,0.27549630403518677,,
16,,7099,,,0.8984375,0.27604782581329346,,
16,,7149,,,0.9375,0.17302434146404266,,
16,,7199,,,0.9296875,0.18804414570331573,,
16,,7249,,,0.9453125,0.1922658383846283,,
16,,7299,,,0.9140625,0.2326442450284958,,
16,,7309,,,,,0.9254000186920166,0.21461732685565948
,0.0005,7310,,,,,,
17,,7349,,,0.8984375,0.2864716649055481,,
17,,7399,,,0.9609375,0.13019606471061707,,
17,,7449,,,0.9375,0.23685233294963837,,
17,,7499,,,0.953125,0.16241376101970673,,
17,,7549,,,0.9140625,0.20209470391273499,,
17,,7599,,,0.9453125,0.12145967781543732,,
17,,7649,,,0.9296875,0.19313742220401764,,
17,,7699,,,0.9375,0.14821332693099976,,
17,,7739,,,,,0.9190000295639038,0.2228996753692627
,0.0005,7740,,,,,,
18,,7749,,,0.921875,0.20376980304718018,,
18,,7799,,,0.9375,0.14176753163337708,,
18,,7849,,,0.90625,0.23705098032951355,,
18,,7899,,,0.921875,0.21902719140052795,,
18,,7949,,,0.8984375,0.28352388739585876,,
18,,7999,,,0.90625,0.27531862258911133,,
18,,8049,,,0.9140625,0.23849298059940338,,
18,,8099,,,0.9296875,0.2396487295627594,,
18,,8149,,,0.953125,0.13575731217861176,,
18,,8169,,,,,0.921999990940094,0.21676425635814667
,0.0005,8170,,,,,,
19,,8199,,,0.9453125,0.16571544110774994,,
19,,8249,,,0.9375,0.1574324667453766,,
19,,8299,,,0.8984375,0.26819953322410583,,
19,,8349,,,0.9375,0.21399499475955963,,
19,,8399,,,0.890625,0.24776220321655273,,
19,,8449,,,0.953125,0.1556244194507599,,
19,,8499,,,0.953125,0.17720460891723633,,
19,,8549,,,0.953125,0.2009676992893219,,
19,,8599,,,0.8977272510528564,0.24126018583774567,,
19,,8599,,,,,0.9240000247955322,0.21388156712055206
,0.0005,8600,,,,,,
20,,8649,,,0.9375,0.18658122420310974,,
20,,8699,,,0.9140625,0.21603360772132874,,
20,,8749,,,0.8984375,0.22605758905410767,,
20,,8799,,,0.8828125,0.22192412614822388,,
20,,8849,,,0.9140625,0.1710449457168579,,
20,,8899,,,0.9375,0.12244752049446106,,
20,,8949,,,0.921875,0.20448648929595947,,
20,,8999,,,0.8828125,0.31228363513946533,,
20,,9029,,,,,0.9287999868392944,0.19675984978675842
,0.0005,9030,,,,,,
21,,9049,,,0.9296875,0.17574858665466309,,
21,,9099,,,0.9453125,0.19795647263526917,,
21,,9149,,,0.953125,0.1388373225927353,,
21,,9199,,,0.9296875,0.22570684552192688,,
21,,9249,,,0.9140625,0.2520376443862915,,
21,,9299,,,0.9296875,0.16258090734481812,,
21,,9349,,,0.953125,0.16848239302635193,,
21,,9399,,,0.9296875,0.25752952694892883,,
21,,9449,,,0.8828125,0.3137702941894531,,
21,,9459,,,,,0.9283999800682068,0.20177824795246124
,0.0005,9460,,,,,,
22,,9499,,,0.90625,0.2486235499382019,,
22,,9549,,,0.90625,0.202689528465271,,
22,,9599,,,0.90625,0.24348410964012146,,
22,,9649,,,0.8828125,0.2830255925655365,,
22,,9699,,,0.953125,0.18211203813552856,,
22,,9749,,,0.9375,0.15501944720745087,,
22,,9799,,,0.9296875,0.19186536967754364,,
22,,9849,,,0.8984375,0.29408928751945496,,
22,,9889,,,,,0.9291999936103821,0.19018854200839996
,0.0005,9890,,,,,,
23,,9899,,,0.921875,0.18533624708652496,,
23,,9949,,,0.9453125,0.13590118288993835,,
23,,9999,,,0.921875,0.17388403415679932,,
23,,10049,,,0.9453125,0.17246080935001373,,
23,,10099,,,0.90625,0.25572413206100464,,
23,,10149,,,0.9296875,0.18149706721305847,,
23,,10199,,,0.875,0.32424354553222656,,
23,,10249,,,0.9140625,0.24310792982578278,,
23,,10299,,,0.890625,0.30505961179733276,,
23,,10319,,,,,0.9254000186920166,0.2013482302427292
,0.0005,10320,,,,,,
24,,10349,,,0.875,0.2984052300453186,,
24,,10399,,,0.9609375,0.1512938141822815,,
24,,10449,,,0.9296875,0.2480931580066681,,
24,,10499,,,0.90625,0.2756986618041992,,
24,,10549,,,0.921875,0.18464618921279907,,
24,,10599,,,0.9453125,0.16631317138671875,,
24,,10649,,,0.9609375,0.13042719662189484,,
24,,10699,,,0.9296875,0.21015916764736176,,
24,,10749,,,0.9545454382896423,0.1251734346151352,,
24,,10749,,,,,0.9309999942779541,0.19503745436668396
,0.0005,10750,,,,,,
25,,10799,,,0.9140625,0.23167182505130768,,
25,,10849,,,0.9453125,0.19841420650482178,,
25,,10899,,,0.9375,0.19160117208957672,,
25,,10949,,,0.9375,0.19202813506126404,,
25,,10999,,,0.984375,0.0942443311214447,,
25,,11049,,,0.9140625,0.1615474820137024,,
25,,11099,,,0.9140625,0.19827508926391602,,
25,,11149,,,0.9453125,0.15335863828659058,,
25,,11179,,,,,0.9232000112533569,0.20661436021327972
,0.0005,11180,,,,,,
26,,11199,,,0.9296875,0.18414925038814545,,
26,,11249,,,0.921875,0.19537779688835144,,
26,,11299,,,0.9609375,0.10583622753620148,,
26,,11349,,,0.921875,0.16966724395751953,,
26,,11399,,,0.90625,0.24034318327903748,,
26,,11449,,,0.921875,0.2189086377620697,,
26,,11499,,,0.9140625,0.2009519636631012,,
26,,11549,,,0.9375,0.23992735147476196,,
26,,11599,,,0.9609375,0.1719522774219513,,
26,,11609,,,,,0.928600013256073,0.19729408621788025
,0.00025,11610,,,,,,
27,,11649,,,0.953125,0.11992210149765015,,
27,,11699,,,0.9609375,0.09432202577590942,,
27,,11749,,,0.9375,0.1594981551170349,,
27,,11799,,,0.90625,0.20634695887565613,,
27,,11849,,,0.921875,0.1489134579896927,,
27,,11899,,,0.9296875,0.17786389589309692,,
27,,11949,,,0.9296875,0.18249663710594177,,
27,,11999,,,0.9609375,0.13948139548301697,,
27,,12039,,,,,0.9340000152587891,0.18756116926670074
,0.00025,12040,,,,,,
28,,12049,,,0.953125,0.1736581027507782,,
28,,12099,,,0.953125,0.10666869580745697,,
28,,12149,,,0.9375,0.15553216636180878,,
28,,12199,,,0.9609375,0.1462017446756363,,
28,,12249,,,0.9140625,0.24830767512321472,,
28,,12299,,,0.953125,0.14274407923221588,,
28,,12349,,,0.9609375,0.08318665623664856,,
28,,12399,,,0.90625,0.257449209690094,,
28,,12449,,,0.9453125,0.1396428942680359,,
28,,12469,,,,,0.9369999766349792,0.17478987574577332
,0.00025,12470,,,,,,
29,,12499,,,0.953125,0.09839479625225067,,
29,,12549,,,0.9296875,0.23450179398059845,,
29,,12599,,,0.921875,0.20941393077373505,,
29,,12649,,,0.9140625,0.22577762603759766,,
29,,12699,,,0.921875,0.1806570142507553,,
29,,12749,,,0.953125,0.12903350591659546,,
29,,12799,,,0.9140625,0.22607961297035217,,
29,,12849,,,0.984375,0.07896414399147034,,
29,,12899,,,0.9545454382896423,0.11250993609428406,,
29,,12899,,,,,0.9315999746322632,0.19298841059207916
,0.00025,12900,,,,,,
30,,12949,,,0.9296875,0.1402820497751236,,
30,,12999,,,0.9375,0.12396314740180969,,
30,,13049,,,0.8828125,0.24645337462425232,,
30,,13099,,,0.9140625,0.2000928819179535,,
30,,13149,,,0.953125,0.1336885392665863,,
30,,13199,,,0.953125,0.13719695806503296,,
30,,13249,,,0.9375,0.16781768202781677,,
30,,13299,,,0.90625,0.24846094846725464,,
30,,13329,,,,,0.9330000281333923,0.17540642619132996
,0.00025,13330,,,,,,
31,,13349,,,0.9296875,0.17658935487270355,,
31,,13399,,,0.9140625,0.2323150634765625,,
31,,13449,,,0.953125,0.1540272831916809,,
31,,13499,,,0.9296875,0.14129313826560974,,
31,,13549,,,0.9609375,0.09899821877479553,,
31,,13599,,,0.9140625,0.23271965980529785,,
31,,13649,,,0.953125,0.1279420703649521,,
31,,13699,,,0.953125,0.14955765008926392,,
31,,13749,,,0.90625,0.26021090149879456,,
31,,13759,,,,,0.9398000240325928,0.17485971748828888
,0.00025,13760,,,,,,
32,,13799,,,0.953125,0.18797916173934937,,
32,,13849,,,0.953125,0.12823984026908875,,
32,,13899,,,0.9453125,0.17224416136741638,,
32,,13949,,,0.8984375,0.2606559693813324,,
32,,13999,,,0.9140625,0.2351149022579193,,
32,,14049,,,0.953125,0.16207429766654968,,
32,,14099,,,0.953125,0.12670698761940002,,
32,,14149,,,0.9453125,0.1341087818145752,,
32,,14189,,,,,0.9277999997138977,0.20348423719406128
,0.000125,14190,,,,,,
33,,14199,,,0.9375,0.18448969721794128,,
33,,14249,,,0.8984375,0.21690908074378967,,
33,,14299,,,0.96875,0.08914175629615784,,
33,,14349,,,0.953125,0.13624714314937592,,
33,,14399,,,0.984375,0.07408509403467178,,
33,,14449,,,0.9140625,0.2183709740638733,,
33,,14499,,,0.9296875,0.20035362243652344,,
33,,14549,,,0.9609375,0.11691999435424805,,
33,,14599,,,0.9453125,0.14646229147911072,,
33,,14619,,,,,0.9377999901771545,0.17533257603645325
,0.000125,14620,,,,,,
34,,14649,,,0.96875,0.1025233268737793,,
34,,14699,,,0.9296875,0.1673903614282608,,
