epoch,lr-Adam,step,train_acc,train_loss,val_acc,val_loss
,0.0005,0,,,,
0,,49,0.7109375,0.7842881679534912,,
0,,99,0.796875,0.5323492288589478,,
0,,149,0.8671875,0.42755040526390076,,
0,,199,0.8046875,0.5265769362449646,,
0,,249,0.796875,0.5463199615478516,,
0,,299,0.84375,0.5058856010437012,,
0,,349,0.828125,0.5300947427749634,,
0,,399,0.8359375,0.44161954522132874,,
0,,429,,,0.8349999785423279,0.4179130792617798
,0.0005,430,,,,
1,,449,0.828125,0.38022512197494507,,
1,,499,0.7890625,0.5322511792182922,,
