epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.6328125,1.2069916725158691,,
0,99,,,0.703125,1.091005802154541,,
0,149,,,0.6953125,0.8091656565666199,,
0,199,,,0.8125,0.5912896990776062,,
0,249,,,0.7421875,0.751133382320404,,
0,299,,,0.7265625,0.6397557258605957,,
0,349,,,0.7421875,0.7825855612754822,,
0,399,,,0.78125,0.5231763124465942,,
0,421,,,,,0.8758333325386047,0.3768167793750763
1,449,,,0.765625,0.6407967209815979,,
1,499,,,0.78125,0.4665844738483429,,
1,549,,,0.859375,0.45637792348861694,,
1,599,,,0.8125,0.5361615419387817,,
1,649,,,0.84375,0.4543270468711853,,
1,699,,,0.8046875,0.5518273711204529,,
1,749,,,0.8515625,0.5139052867889404,,
1,799,,,0.84375,0.44030827283859253,,
1,843,,,,,0.8913333415985107,0.31394416093826294
2,849,,,0.8515625,0.42097923159599304,,
2,899,,,0.859375,0.4780236482620239,,
2,949,,,0.7890625,0.5324438214302063,,
2,999,,,0.8984375,0.3067881166934967,,
2,1049,,,0.859375,0.46711739897727966,,
2,1099,,,0.84375,0.4185883104801178,,
2,1149,,,0.8515625,0.4166334271430969,,
2,1199,,,0.921875,0.24427056312561035,,
2,1249,,,0.84375,0.4517594575881958,,
2,1265,,,,,0.9011666774749756,0.28947192430496216
3,1299,,,0.859375,0.41423094272613525,,
3,1349,,,0.8515625,0.38271379470825195,,
3,1399,,,0.8359375,0.4014381468296051,,
3,1449,,,0.8828125,0.4079749584197998,,
3,1499,,,0.890625,0.3481266498565674,,
3,1549,,,0.90625,0.2838926911354065,,
3,1599,,,0.8671875,0.3563201129436493,,
3,1649,,,0.8515625,0.4375584125518799,,
3,1687,,,,,0.9036666750907898,0.26881086826324463
4,1699,,,0.8515625,0.38546183705329895,,
4,1749,,,0.8828125,0.3960942327976227,,
4,1799,,,0.875,0.33304744958877563,,
4,1849,,,0.8984375,0.2947671413421631,,
4,1899,,,0.875,0.38829272985458374,,
4,1949,,,0.8671875,0.448040246963501,,
4,1999,,,0.890625,0.41163283586502075,,
4,2049,,,0.8515625,0.3798198103904724,,
4,2099,,,0.890625,0.3391858637332916,,
4,2109,,,,,0.9123333096504211,0.2537026107311249
5,2149,,,0.875,0.3104596436023712,,
5,2199,,,0.8984375,0.3875529170036316,,
5,2249,,,0.8984375,0.3729894161224365,,
5,2299,,,0.875,0.45716187357902527,,
5,2349,,,0.890625,0.36024758219718933,,
5,2399,,,0.8984375,0.25698819756507874,,
5,2449,,,0.890625,0.35561227798461914,,
5,2499,,,0.859375,0.36899498105049133,,
5,2531,,,,,0.9161666631698608,0.23709435760974884
6,2549,,,0.9453125,0.2672966420650482,,
6,2599,,,0.875,0.425357848405838,,
6,2649,,,0.875,0.29471027851104736,,
6,2699,,,0.90625,0.225333109498024,,
6,2749,,,0.9140625,0.2535828649997711,,
6,2799,,,0.9140625,0.2512747645378113,,
6,2849,,,0.8828125,0.31351006031036377,,
6,2899,,,0.859375,0.3645416498184204,,
6,2949,,,0.875,0.38521549105644226,,
6,2953,,,,,0.9053333401679993,0.2839505672454834
7,2999,,,0.8515625,0.41687601804733276,,
7,3049,,,0.8984375,0.3535177707672119,,
7,3099,,,0.8984375,0.31774306297302246,,
7,3149,,,0.9296875,0.24877303838729858,,
7,3199,,,0.8203125,0.4615240693092346,,
7,3249,,,0.921875,0.2613399028778076,,
7,3299,,,0.8515625,0.3914055824279785,,
7,3349,,,0.921875,0.20895925164222717,,
7,3375,,,,,0.9120000004768372,0.2493053376674652
8,3399,,,0.9140625,0.3253546953201294,,
8,3449,,,0.890625,0.41729578375816345,,
8,3499,,,0.875,0.28598377108573914,,
8,3549,,,0.875,0.3851732611656189,,
8,3599,,,0.8671875,0.41309553384780884,,
8,3649,,,0.890625,0.386426717042923,,
8,3699,,,0.8671875,0.38546621799468994,,
8,3749,,,0.8984375,0.27586084604263306,,
8,3797,,,,,0.9133333563804626,0.25608029961586
9,3798,0.913100004196167,0.26503613591194153,,,,
